country_code,country,gdp,labor,human_capital,physical_capital
AGO,Angola,223289.3125,16.644962310791016,1.4819843769073486,0.01741531677544117
ARG,Argentina,978558.8125,20.64321517944336,3.09680438041687,0.03131192550063133
ARM,Armenia,43795.6875,0.966090977191925,3.1359946727752686,0.0011580209247767925
AUS,Australia,1355143.25,12.863174438476562,3.549666166305542,0.08060186356306076
AUT,Austria,478329.34375,4.550281047821045,3.3810462951660156,0.03633153811097145
BDI,Burundi,9166.3232421875,5.0035881996154785,1.4165260791778564,0.00028400408336892724
BEL,Belgium,523688.59375,4.921936511993408,3.149034023284912,0.04266025498509407
BEN,Benin,38397.953125,4.300300598144531,1.918609619140625,0.0009909173240885139
BFA,Burkina Faso,43177.33984375,6.958755970001221,1.2862424850463867,0.0014950076583772898
BGR,Bulgaria,150325.4375,3.4204185009002686,3.1860151290893555,0.005260708276182413
BHR,Bahrain,77180.3359375,0.7436636090278625,2.2295069694519043,0.004559279419481754
BOL,Bolivia (Plurinational State of),98644.46875,5.543825626373291,2.966043710708618,0.003268348751589656
BRA,Brazil,3079724.5,93.95682525634766,3.0913732051849365,0.16553790867328644
BRB,Barbados,3577.5810546875,0.13225862383842468,2.8460724353790283,0.0003553864371497184
BWA,Botswana,38095.609375,0.9215958118438721,2.9388160705566406,0.0017457621870562434
CAF,Central African Republic,4653.58056640625,1.8443279266357422,1.5616270303726196,0.0003596205497160554
CAN,Canada,1862070.0,19.298662185668945,3.7210659980773926,0.10473179072141647
CHE,Switzerland,644661.75,5.011204719543457,3.7026784420013428,0.05101172998547554
CHL,Chile,441291.09375,8.100071907043457,3.145768880844116,0.015935378149151802
CHN,China,20118076.0,798.8077392578125,2.6989870071411133,1.1670750379562378
CIV,Côte d'Ivoire,129436.7890625,7.510223865509033,1.6955418586730957,0.002628915011882782
CMR,Cameroon,94377.6953125,10.365276336669922,1.895813226699829,0.002896757796406746
COL,Colombia,706174.3125,21.199607849121094,2.5987870693206787,0.025199854746460915
CRI,Costa Rica,93967.2421875,2.2563555240631104,2.6947717666625977,0.0027099617291241884
CYP,Cyprus,28377.013671875,0.3665671646595001,2.9043920040130615,0.0021589077077805996
CZE,Czech Republic,401744.25,5.4814324378967285,3.674304246902466,0.029073728248476982
DEU,Germany,4274167.5,44.795196533203125,3.67537784576416,0.25709450244903564
DNK,Denmark,312004.0625,2.971836566925049,3.5992648601531982,0.02103998325765133
DOM,Dominican Republic,192885.859375,5.126679420471191,2.7671539783477783,0.007608379703015089
ECU,Ecuador,194288.453125,8.246670722961426,2.762469530105591,0.013353598304092884
EGY,Egypt,1212398.375,26.794647216796875,2.676786422729492,0.02096388302743435
ESP,Spain,1889426.625,19.872013092041016,2.985405206680298,0.12277364730834961
EST,Estonia,45079.3515625,0.6729755401611328,3.6594910621643066,0.0026374913286417723
FIN,Finland,249282.984375,2.6737053394317627,3.5044519901275635,0.015575871802866459
FJI,Fiji,12362.8251953125,0.30824753642082214,2.7015976905822754,0.0003738620725926012
FRA,France,2950146.25,28.532564163208008,3.230137348175049,0.2157776653766632
GAB,Gabon,33140.015625,0.6580106616020203,2.8762669563293457,0.0019805263727903366
GBR,United Kingdom,2994405.75,32.98249816894531,3.7735960483551025,0.17838673293590546
GRC,Greece,286884.53125,4.235072612762451,3.13531756401062,0.024298014119267464
GTM,Guatemala,137257.53125,7.0933732986450195,1.9543628692626953,0.004145120270550251
HKG,"China, Hong Kong SAR",408095.8125,3.8638103008270264,3.267883777618408,0.026516593992710114
HND,Honduras,53133.1328125,3.833400011062622,2.4374547004699707,0.002703962614759803
HRV,Croatia,108094.8203125,1.8176243305206299,3.6189019680023193,0.006460675969719887
HUN,Hungary,284589.5,4.71157693862915,3.4171385765075684,0.016585171222686768
IDN,Indonesia,3120405.75,131.17068481445312,2.2881650924682617,0.18255896866321564
IND,India,9142121.0,497.61572265625,2.1711645126342773,0.4165402948856354
IRL,Ireland,496383.5,2.2604477405548096,3.185516834259033,0.03480515629053116
IRN,Iran (Islamic Republic of),1087768.0,24.594810485839844,2.517744302749634,0.040914036333560944
IRQ,Iraq,458890.15625,8.772139549255371,2.2889058589935303,0.02533019334077835
ISL,Iceland,18182.48046875,0.19233807921409607,3.2822329998016357,0.001086335745640099
ISR,Israel,329783.3125,4.228710174560547,3.891540050506592,0.015277858823537827
